
                JLINK_Reset() -- CPU_WriteMem(4 bytes @ 0x200158B0) -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE000EDF0) -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE000EDFC) >0x35 TIF> -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE000ED0C) >0x0D TIF> >0x28 TIF> -- CPU_ReadMem(4 bytes @ 0xE000EDF0) -- CPU_ReadMem(4 bytes @ 0xE000EDF0) -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE000EDF0) -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE000EDFC) -- CPU_ReadMem(4 bytes @ 0xE000EDF0)
 -- CPU_WriteMem(4 bytes @ 0xE0002000) -- CPU_ReadMem(4 bytes @ 0xE000EDFC) -- CPU_ReadMem(4 bytes @ 0xE0001000) (0069ms, 0069ms total)
                JLINK_Go() -- CPU_ReadMem(4 bytes @ 0xE0001000) -- CPU_WriteMem(4 bytes @ 0xE0001004) (0001ms, 0070ms total)
               (0195ms, 0924ms total)
T1348 012:419  -- CPU_ReadMem(24 bytes @ 0x200158B0)JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T1348 012:615  -- CPU_ReadMem(24 bytes @ 0x200158B0) -- CPU_ReadMem(24 bytes @ 0x200158B0) -- CPU_ReadMem(24 bytes @ 0x200158B0) -- CPU_ReadMem(24 bytes @ 0x200158B0)JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 89 (0000ms, 0924ms total)
T2174 012:822 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 012:933 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 013:044 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 013:155 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 013:268 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 013:379 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 013:489 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 013:599 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 013:708 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 013:817 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 013:927 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 014:039 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 014:148 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 014:259 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 014:369 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 014:481 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 014:589 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 014:698 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 014:807 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 014:916 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 015:027 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 015:136 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 015:246 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 40 (0000ms, 0924ms total)
T2174 015:356 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 015:469 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 015:578 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 41 (0000ms, 0924ms total)
T2174 015:686 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 0 (0000ms, 0924ms total)
T2174 015:797 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00000400)  returns 41 (0000ms, 0924ms total)
